Name,Category,Brand,ImageURL,Code,Barcode
LA FINCA GUARACHA REDONDA 1/10 OZ CJ 10,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/119_5530,119,851356007560
LA FINCA HARINA DE CEBADA 12/ 12 OZ CJ 3,Harinas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/86_5229,86,810118991820
LA FINCA HARINA DE HABA CAJA 10 BAGS/1 LB,Harinas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/88_5245,88,810118992612
LA FINCA HARINA DE PINOLILLO 12/ 12 OZ CJ 3,Harinas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/85_5228,85,810118991813
LA FINCA HORCHATA DE ARROZ 12/ 12 OZ CJ 3,Harinas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/83_5226,83,810118990977
LA FINCA HORCHATA DE MORRO 12/12 OZ CJ 3,Harinas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/87_5243,87,810118990960
LA FINCA JASMINE RICE 1/20 LB,Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/349_3105.jpg,349,3105
LA FINCA JASMINE RICE 15/2 LB,Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/64_3102,64,851356007553
LA FINCA JASMINE RICE 6/5 LB,Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/63_3101,63,851356007546
LA FINCA MARGARITA 1/12 OZ. CJ 12 UNDS,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/94_5373,94,851356007096
LA FINCA MARIAS BOX 12/ 560 GR,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/91_5312,91,810118990199
LA FINCA MINI PILONCILLO CJ 25 16OZ/ 454GRS.,Dulces,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/429_CTD-6197.jpg,429,810118992001
LA FINCA MOJO CRIOLLO 12/20.3 FL OZ (600 ML),Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/117_5515,117,810118990656
LA FINCA MOJO CRIOLLO 4/ 3785 ML,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/113_5508,113,810118990663
LA FINCA NANCE 12/32 OZ,Conservas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/142_2302,142,851356007249
LA FINCA NOPAL 12/ 32 OZ..,Conservas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/60_2330,60,810118990168
